"%1$s has been updated in your wishlist.","%1$s ir atjaunināts."
"%d product(s) have been added to shopping cart: %s.","%d prece(s) ielikta(s) pirkumu grozā: %s."
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s pārvietots uz vēlmju sarakstu %s"
"%s's Wishlist","%s's vēlmju saraksts"
"* Required Fields","* Obligāti aizpildāmie lauki"
"Add All to Cart","Ielikt visu pirkumu grozā"
"Add to Cart","Ielikt grozā"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Pievienot vēlmju sarakstam"
"Added From","Added From"
"An error occurred while adding item to wishlist.","Radās kļūda, pievienojot preci vēlmju sarakstam."
"An error occurred while adding item to wishlist: %s","Radās kļūda, pievienojot preci vēlmju sarakstam: %s"
"An error occurred while deleting the item from wishlist.","Radās kļūda, dzēšot preci no vēlmju saraksta."
"An error occurred while deleting the item from wishlist: %s","Radās kļūda, dzēšot preci no vēlmju saraksta: %s"
"An error occurred while updating wishlist.","Radās kļūda, atjauninot vēlmju sarakstu."
"Are you sure you want to remove this product from your wishlist?","Vai tiešām vēlaties dzēst šo preci no sava vēlmju saraksta?"
"Are you sure you would like to remove this item from the wishlist?","Vai tiešām vēlaties dzēst šo preci no sava vēlmju saraksta?"
"Back","Atpakaļ"
"Can\'t delete item from wishlist","Nav iespējams dzēst preci no vēlmju saraksta"
"Can\'t save description %s","Nav iespējams salabāt aprakstu %s"
"Can\'t update wishlist","Nav iespējams atjaunināt vēlmju sarakstu"
"Cannot add item to shopping cart","Nav iespējams pievienot preci pirkumu grozam"
"Cannot add the following product(s) to shopping cart: %s.","Sekojošus produktus nav iespējams pievienot pirkumu grozam: %s."
"Cannot add the item to shopping cart.","Preci nav iespējams pievienot pirkumu grozam."
"Cannot configure product","Cannot configure product"
"Cannot load wishlist item","Cannot load wishlist item"
"Cannot move item to wishlist","Preci nav iespējams pārvietot uz vēlmju sarakstu"
"Cannot specify product.","Cannot specify product."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Nav iespējams atjaunināt vēlmju sarakstu"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Click for price","Uzklikšķināt, lai redzētu cenu"
"Comment","Komentārs"
"Comment:","Komentārs:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Could not find such wishlist","Šāds vēlmju saraksts netika atrasts"
"Could not find wishlist","Šāds vēlmju saraksts netika atrasts"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Date Added"
"Days in Wishlist","Dienas vēlmju sarakstā"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Labot"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","Epastu adreses, atdalītas ar komatiem"
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","Iet uz vēlmju sarakstu"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","Pieejams"
"Last Added Items","Pēdējās pievienotās preces"
"Message","Ziņa"
"My Wishlist","Mans vēlmju saraksts"
"My Wishlist (%d item)","Mans vēlmju saraksts (%d prece)"
"My Wishlist (%d items)","Mans vēlmju saraksts (%d preces)"
"My Wishlist <small>(%d)</small>","My Wishlist <small>(%d)</small>"
"My Wishlist Link","My Wishlist Link"
"Options Details","Options Details"
"Out of stock","Nav pieejams"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lūdzu, ierakstiet derīgas epastu adreses, atdalītas ar komatiem. Piemēram, johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Lūdzu, ievadiet derīgu epasta adresi."
"Please, enter your comments...","Lūdzu, ierakstiet savus komentārus."
"Product","Prece"
"Product Details and Comment","Informācija par preci un komentārs"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"Product(s) %s have required options. Each product can only be added individually.","Product(s) %s have required options. Each product can only be added individually."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","Dzēst preci"
"Remove This Item","Dzēst šo preci"
"Remove item","Dzēst preci"
"Requested cart item doesn't exist","Requested cart item doesn't exist"
"Requested wishlist doesn't exist","Requested wishlist doesn't exist"
"Share Options","Share Options"
"Share Wishlist","Share Wishlist"
"Share Your Wishlist","Share Your Wishlist"
"Sharing Information","Sharing Information"
"This Wishlist has no Items","Vēlmju saraksts ir tukšs"
"This product(s) is currently out of stock","Sobrīd šis produkts nav pieejams"
"Unable to add the following product(s) to shopping cart: %s.","Sekojošus produktus vēlmju sarakstam pievienot nav iespējams: %s."
"Update Wishlist","Atjaunināt vēlmju sarakstu"
"User Description","User Description"
"View Details","View Details"
"View Product","Apskatīt preci"
"What's this?","Kas tas ir?"
"Wishlist","Vēlmju saraksts"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist could not be created.","Nav iespējams izveidot vēlmju sarakstu."
"Wishlist is empty now.","Vēlmju saraksts šobrīd ir tukšs."
"You have no items in your wishlist.","Jūsu vēlmju saraksts šobrīd ir tukšs."
"Your Wishlist has been shared.","Your Wishlist has been shared."
